doc|doctype|text|
1|General|The Big Bang Theory is an American television sitcom created by Chuck Lorre and Bill Prady, both of whom served as executive producers on the series, along with 161Steven Molaro. All three also served as head writers. The show premiered on CBS on September 24, 2007 and concluded on May 16, 2019, having broadcast a total of 279 episodes over 12 seasons.|
2|General|Dracula is an 1897 Gothic horror novel by Irish author Bram Stoker. It introduced the character of Count Dracula, and established many conventions of subsequent vampire fantasy.|
3|General|Harry Potter is a series of fantasy novels written by British author J. K. Rowling. The novels chronicle the lives of a young wizard, Harry Potter, and his friends Hermione Granger and Ron Weasley, all of whom are students at Hogwarts School of Witchcraft and Wizardry. The main story arc concerns Harry's struggle against Lord Voldemort, a dark wizard who intends to become immortal, overthrow the wizard governing body known as the Ministry of Magic and subjugate all wizards and Muggles (non-magical people).|
4|General|Harry Potter and the Philosopher's Stone is a fantasy novel written by British author J. K. Rowling. The first novel in the Harry Potter series and Rowling's debut novel, it follows Harry Potter, a young wizard who discovers his magical heritage on his eleventh birthday, when he receives a letter of acceptance to Hogwarts School of Witchcraft and Wizardry. Harry makes close friends and a few enemies during his first year at the school, and with the help of his friends, Harry faces an attempted comeback by the dark wizard Lord Voldemort, who killed 5Harry's parents, but failed to kill Harry when he was just 15 months old.|
5|General|Young Sheldon (stylized as young Sheldon) is an American comedy television series on CBS created by Chuck Lorre and Steven Molaro. The series is a spin-off prequel to The Big Bang Theory and begins with the character Sheldon Cooper at the age of nine, living with his family in East Texas and going to high school.|
6|General|Philip Kindred Dick (December 16, 1928 – March 2, 1982) was an American writer known for his work in science fiction. His work explored philosophical, social, and political themes, with stories dominated by monopolistic corporations, alternative universes, authoritarian governments, and altered states of consciousness. His writing also reflected his interest in metaphysics and theology, and often drew upon his life experiences, addressing the nature of reality, identity, drug abuse, schizophrenia, and transcendental experiences. Dick produced 44 published novels and approximately 121 short stories, most of which appeared in science fiction magazines during his lifetime.|
7|General|Tor Books is the primary imprint of Tom Doherty Associates, a publishing company based in New York City. It primarily publishes science fiction and fantasy titles, and publishes the online science fiction magazine Tor.com.|
8|General|Cormoran Strike is a series of crime fiction books written by British author J. K. Rowling, published under the pseudonym Robert Galbraith. The story chronicles the cases of private detective Cormoran Strike and his assistant Robin Ellacott. Four novels in the series have so far been published. The fourth, Lethal White, was released on 18 September 2018. Rowling has stated that she has plans for at least another ten.|
9|General|Brandon Sanderson (born December 19, 1975) is an American fantasy and science fiction writer. He is best known for the Cosmere universe, in which most of his fantasy novels (most notably the Mistborn series and The Stormlight Archive) are set. He is also known for finishing Robert Jordan's epic fantasy series The Wheel of Time. Sanderson was raised in Lincoln, Nebraska before attending Brigham Young University, where he received degrees in English literature and creative writing.|
10|General|Stephen Edwin King (born September 21, 1947) is an American author of horror, supernatural fiction, suspense, science fiction, and fantasy novels. His books have sold more than 350 million copies, many of which have been adapted into feature films, miniseries, television series, and comic books. King has published 58 novels (including seven under the pen name Richard Bachman) and six non-fiction books. He has written approximately 200 short stories, most of which have been published in book collections.|
